millis,brake_active,aX,aY,aZ,tmp,gX,gY,gZ
5273,0,4500,-16360,-912,18.88,-812,-43,-193
5282,0,4576,-16220,-1004,18.84,-749,-43,-225
5292,0,4508,-16236,-920,18.93,-726,4,-185
5301,0,4420,-16184,-1000,18.88,-701,38,-194
5310,0,4352,-16204,-860,18.79,-662,65,-182
5319,0,4480,-16260,-700,18.79,-670,80,-206
5329,0,4552,-16268,-620,18.84,-693,105,-170
5338,0,4544,-16340,-664,18.88,-671,114,-188
5360,0,4568,-16212,-724,18.88,-624,142,-173
5371,0,4500,-16244,-620,18.88,-557,130,-121
5381,0,4516,-16040,-880,18.98,-544,109,-157
5390,0,4364,-16148,-912,18.84,-522,118,-128
5399,0,4408,-16256,-824,18.93,-477,122,-155
5408,0,4468,-16232,-908,18.84,-493,149,-160
5417,0,4436,-16364,-980,18.79,-484,141,-150
5426,0,4452,-16292,-976,18.93,-443,187,-178
5436,0,4472,-16288,-864,18.84,-461,194,-162
5447,0,4444,-16296,-748,18.88,-441,229,-141
5456,0,4360,-16292,-672,18.93,-436,268,-149
5466,0,4412,-16232,-444,18.88,-474,194,-161
5475,0,4504,-16172,-544,18.93,-470,224,-139
5484,0,4392,-16324,-572,18.88,-469,200,-118
5493,0,4436,-16336,-540,18.88,-461,200,-141
5503,0,4432,-16428,-464,18.84,-437,168,-151
5512,0,4428,-16396,-656,18.88,-407,113,-172
5521,0,4456,-16400,-512,18.84,-474,121,-175
5533,0,4428,-16288,-548,18.93,-471,90,-175
5542,0,4492,-16208,-552,18.88,-468,80,-154
5551,0,4392,-16288,-520,18.84,-501,123,-148
5560,0,4452,-16348,-368,18.88,-508,100,-154
5569,0,4324,-16192,-448,18.79,-500,129,-137
5578,0,4436,-16236,-396,18.88,-514,123,-181
5588,0,4492,-16372,-544,18.93,-521,116,-174
5597,0,4428,-16288,-356,18.84,-526,135,-133
5608,0,4344,-16380,-472,18.93,-501,158,-146
5631,0,4416,-16380,-292,18.93,-542,126,-174
5640,0,4320,-16372,-184,18.88,-546,72,-175
5649,0,4376,-16384,-324,18.88,-514,103,-134
5658,0,4348,-16356,-536,18.88,-503,100,-163
5668,0,4416,-16276,-620,18.93,-433,124,-164
5677,0,4436,-16252,-464,18.98,-419,129,-196
5686,0,4356,-16272,-268,18.79,-476,126,-194
5697,0,4516,-16268,-340,18.93,-524,115,-194
5708,0,4600,-16292,-256,18.79,-511,89,-178
5717,0,4676,-16252,-252,18.88,-537,85,-196
5727,0,4664,-16192,-160,18.88,-604,56,-194
5736,0,4652,-16364,-132,18.84,-648,20,-139
5745,0,4628,-16584,160,18.88,-630,3,-141
5754,0,4596,-16320,28,18.88,-694,45,-141
5764,0,4424,-16332,-96,18.98,-734,82,-119
5773,0,4496,-16124,28,18.84,-732,49,-139
5785,0,4364,-16360,492,18.88,-893,-36,-188
5798,0,4400,-16532,508,18.88,-1098,-183,-172
5811,0,4428,-16680,236,18.98,-1161,-102,-243
5825,0,4400,-16636,464,18.84,-1135,-136,-242
5838,0,4660,-16572,-72,18.88,-1208,-101,-251
5851,0,4388,-16536,164,18.88,-1245,-228,-272
5863,0,4348,-16412,-124,18.93,-1232,-241,-279
5875,0,4156,-16332,-272,18.93,-1211,-190,-296
5887,0,4096,-16244,-268,18.88,-1241,-122,-331
5909,0,4532,-16196,-48,18.84,-1334,-213,-354
5918,0,4492,-16304,-284,18.79,-1354,-311,-329
5927,0,4596,-16344,-536,18.98,-1320,-286,-312
5935,0,4600,-16144,-552,18.93,-1338,-241,-278
5944,0,4648,-16328,-500,18.84,-1305,-205,-244
5966,0,5324,-16248,-604,19.02,-1294,-212,-224
5975,0,4496,-16240,-224,18.98,-1308,-396,-234
5984,0,4608,-16236,-972,18.88,-1330,-195,-202
5995,0,4416,-16288,-560,18.84,-1310,-282,-181
6004,0,4356,-16376,-600,18.88,-1348,-166,-212
6013,0,4392,-16284,-972,18.84,-1277,-210,-191
6022,0,4360,-16332,-1000,18.88,-1272,-197,-221
6031,0,4348,-16272,-1008,18.84,-1212,-183,-225
6044,0,4228,-16316,-772,18.93,-1231,-139,-278
6053,0,4416,-16328,-660,18.98,-1268,-166,-297
6062,0,4448,-16252,-480,18.84,-1327,-254,-305
6071,0,4604,-16296,-728,18.88,-1323,-275,-330
6083,0,4612,-16264,-800,18.84,-1321,-357,-309
6092,0,4500,-16228,-720,18.84,-1349,-327,-282
6101,0,4588,-16060,-500,18.98,-1367,-224,-254
6110,0,4372,-16304,-628,18.88,-1305,-169,-266
6119,0,4588,-16188,-592,18.88,-1330,-210,-260
6128,0,4560,-16204,-676,18.98,-1350,-244,-272
6138,0,4524,-16236,-880,18.84,-1353,-232,-251
6147,0,4368,-16232,-840,18.88,-1325,-218,-246
6159,0,4276,-16152,-796,18.84,-1282,-144,-275
6168,0,4456,-16176,-940,18.88,-1303,-188,-306
6177,0,4524,-16276,-744,18.93,-1258,-212,-276
6186,0,4452,-16332,-832,18.88,-1270,-250,-272
6195,0,4396,-16320,-960,18.88,-1237,-184,-254
6205,0,4476,-16352,-1344,18.88,-1144,-100,-232
6214,0,4396,-16216,-1416,18.88,-1022,-23,-249
6223,0,4352,-16060,-1432,18.84,-964,-5,-258
6245,0,4528,-16116,-1328,18.88,-836,6,-240
6256,0,4488,-16052,-1312,18.98,-793,-66,-187
6265,0,4452,-16024,-1552,18.88,-749,-9,-237
6274,0,4500,-15932,-1940,18.93,-614,98,-175
6283,0,4600,-16068,-1884,18.84,-529,139,-197
6292,0,4584,-16080,-1832,18.84,-461,160,-189
6302,0,4628,-16160,-1664,18.84,-380,165,-126
6311,0,4600,-16216,-1624,18.93,-332,191,-121
6320,0,4684,-16180,-1540,18.98,-314,162,-119
6329,0,4636,-16160,-1396,18.88,-283,159,-55
6340,0,4588,-15996,-1452,18.98,-273,198,-54
6349,0,4460,-16076,-1308,18.93,-201,201,-82
6359,0,4572,-16140,-1156,18.93,-204,259,-61
6368,0,4516,-16288,-916,18.93,-242,226,-71
6377,0,4424,-16364,-600,18.88,-254,301,-106
6386,0,4524,-16304,-528,18.88,-331,282,-116
6395,0,4464,-16332,-652,18.88,-306,268,-102
6404,0,4404,-16368,-472,19.02,-296,219,-141
6415,0,4404,-16432,-460,18.88,-317,197,-159
6424,0,4516,-16304,-556,18.88,-329,187,-105
6434,0,4448,-16312,-508,18.93,-315,178,-113
6443,0,4464,-16276,-268,18.84,-337,151,-160
6452,0,4504,-16312,-496,18.88,-391,158,-147
6461,0,4480,-16416,-324,18.88,-421,148,-133
6470,0,4424,-16408,-336,18.88,-414,134,-139
6479,0,4488,-16368,-228,18.93,-462,140,-120
6488,0,4636,-16368,-148,18.93,-481,187,-98
6500,0,4400,-16524,288,18.84,-527,138,-98
6522,0,4308,-16488,580,18.88,-771,147,-68
6531,0,4164,-16456,140,18.93,-821,143,-119
6540,0,4236,-16316,-648,18.84,-698,120,-137
6549,0,4312,-16472,-980,18.93,-546,104,-114
6558,0,4044,-16448,-496,18.88,-644,131,-148
6567,0,4056,-16476,300,18.88,-657,185,-168
6576,0,4308,-16488,416,18.98,-761,81,-214
6595,0,4148,-16456,-692,18.93,-805,-128,-271
6604,0,4176,-16352,-556,18.98,-794,-15,-263
6613,0,4420,-16392,-148,18.98,-865,77,-301
6622,0,4488,-16332,-80,18.88,-975,0,-285
6631,0,4516,-16272,-304,18.93,-973,-109,-271
6640,0,4604,-16284,-544,18.88,-1002,-100,-266
6649,0,4488,-16304,-564,18.93,-1003,-59,-241
6658,0,4456,-16328,-732,18.93,-1029,-60,-240
6667,0,4552,-16344,-628,18.93,-1016,-121,-254
6679,0,4500,-16496,-556,18.93,-1069,-160,-280
6688,0,4416,-16364,-692,18.88,-1112,-186,-253
6697,0,4480,-15912,-732,18.88,-1184,-240,-234
6706,0,4472,-16480,-620,18.88,-1173,-219,-240
6716,0,4508,-16296,-732,18.93,-1133,-162,-256
6725,0,4492,-16332,-556,18.88,-1199,-243,-243
6734,0,4308,-16292,-580,18.93,-1147,-229,-229
6743,0,4352,-16264,-752,18.88,-1150,-166,-266
6755,0,4204,-16248,-836,18.88,-1198,-86,-274
6764,0,4228,-16208,-776,18.93,-1142,-108,-275
6773,0,4300,-16304,-844,18.88,-1104,-152,-298
6795,0,4544,-16308,-656,18.93,-1188,-355,-289
6804,0,4684,-16312,-732,18.88,-1132,-321,-261
6813,0,4752,-16256,-944,18.93,-1053,-265,-209
6822,0,4560,-16200,-880,18.98,-1020,-176,-158
6831,0,4496,-16280,-908,18.98,-1025,-120,-126
6841,0,4808,-16076,-836,18.98,-991,-77,-114
6852,0,4928,-15848,-1128,18.88,-919,-169,-70
6861,0,4692,-16224,-876,18.93,-898,-113,-32
6870,0,4316,-16484,-852,18.88,-856,14,-19
6880,0,4088,-16396,-1024,18.93,-883,215,-49
6889,0,3972,-16532,-1040,18.88,-934,370,-59
6898,0,3960,-16436,-1128,18.84,-881,412,-133
6907,0,3992,-16392,-1124,18.98,-849,257,-183
6917,0,3900,-16432,-804,18.88,-808,131,-263
6929,0,3672,-16364,-836,18.93,-786,142,-316
6938,0,3656,-16400,-1076,18.98,-683,311,-422
6947,0,3496,-16264,-1252,18.93,-653,403,-468
6956,0,3708,-16168,-1232,18.88,-591,477,-538
6966,0,4032,-16368,-1112,18.98,-602,446,-571
6975,0,4636,-16348,-856,19.02,-593,288,-591
6984,0,4692,-16256,-752,18.79,-647,41,-603
6993,0,4792,-16320,-396,18.93,-705,-84,-571
7002,0,4888,-16396,-568,18.98,-698,-54,-528
7014,0,5184,-16408,-672,18.88,-687,-40,-441
7023,0,5292,-16372,-300,18.84,-755,-29,-345
7032,0,5360,-16244,-312,18.93,-814,-50,-258
7042,0,5408,-16288,-532,19.07,-736,-57,-156
7051,0,5088,-16312,-296,18.98,-882,-112,-131
7073,0,4540,-16412,-268,18.88,-1026,-154,-33
7082,0,4416,-16412,-436,18.88,-1029,-146,-29
7091,0,4312,-16480,-452,18.93,-1069,-184,-79
7103,0,4360,-16480,-340,18.93,-1141,-255,-102
7112,0,4160,-16488,-352,18.93,-1206,-342,-151
7122,0,4152,-16516,-552,18.98,-1216,-362,-168
7131,0,4244,-16672,-968,18.93,-1103,-355,-212
7141,0,4272,-16372,-532,18.98,-1247,-314,-231
7150,0,4204,-16408,-504,18.88,-1237,-255,-273
7159,0,4132,-16336,-640,18.88,-1235,-244,-263
7168,0,4368,-16336,-608,19.02,-1261,-256,-304
7178,0,4412,-16224,-596,19.02,-1275,-291,-336
7190,0,4576,-16252,-504,18.84,-1361,-339,-314
7203,0,4540,-16332,-752,18.98,-1360,-337,-328
7216,0,4660,-16392,-700,18.93,-1344,-252,-267
7230,0,4500,-16228,-860,18.98,-1372,-178,-246
7243,0,4264,-16164,-1168,18.93,-1295,-107,-266
7256,0,4276,-16172,-868,18.93,-1291,-41,-297
7267,0,4440,-16328,-912,19.07,-1278,-84,-291
7280,0,4476,-16224,-1088,18.88,-1278,-240,-357
7301,0,4740,-16196,-1396,18.98,-1219,-279,-307
7309,0,4800,-16200,-1284,19.07,-1249,-257,-294
7318,0,4936,-16140,-1260,18.98,-1202,-245,-218
7327,0,4772,-16028,-1468,18.98,-1182,-311,-186
7336,0,4744,-15980,-1580,18.98,-1119,-241,-145
7345,0,4732,-16060,-1484,18.88,-1122,-199,-144
7353,0,4552,-16092,-1712,19.02,-1080,-135,-141
7362,0,3980,-16176,-52,18.93,-1052,-261,-57
7371,0,4332,-16304,-1248,18.88,-1276,236,-174
7395,0,4504,-16120,-1532,18.93,-1035,-243,-203
7404,0,4316,-16368,-748,18.93,-998,-77,-165
7413,0,4328,-16536,-1000,18.93,-1055,-59,-177
7422,0,4804,-16232,-1468,18.93,-1046,-124,-210
7431,0,4644,-16084,-1588,18.98,-1091,-226,-219
7440,0,4488,-16028,-1328,18.88,-1035,-213,-226
7449,0,4500,-16148,-1124,18.88,-1003,-93,-187
7458,0,4620,-16216,-1048,18.88,-972,-69,-161
7469,0,4572,-16252,-1200,18.88,-1002,-118,-185
7478,0,4380,-16144,-964,18.88,-1028,-94,-166
7487,0,4300,-16324,-1160,18.93,-1016,-117,-157
7496,0,4244,-16460,-1016,18.98,-1105,-124,-156
7506,0,4272,-16552,-1608,18.98,-1082,192,-206
7515,0,3752,-16740,-1724,18.98,-993,300,-246
7524,0,4012,-16536,128,18.98,-960,114,-250
7533,0,4536,-16528,-584,18.88,-1098,351,-353
7545,0,4392,-16252,-780,18.98,-941,-77,-300
7556,0,3952,-16160,-2088,18.98,-726,-376,-325
7565,0,4464,-16096,-644,18.98,-945,-259,-302
7574,0,5344,-15908,-1684,18.98,-987,-258,-304
7583,0,5124,-15720,-1704,18.93,-745,-376,-250
7592,0,4644,-16380,-1240,18.93,-715,-370,-132
7602,0,4708,-16424,-544,19.07,-787,206,-40
7611,0,4628,-16260,-1776,18.98,-850,352,-73
7620,0,3952,-16868,-2672,18.98,-723,53,-142
7629,0,4240,-16516,-1592,18.98,-656,-55,-136
7641,0,4900,-15536,-2120,19.02,-712,-47,-98
7651,0,4172,-15660,1252,18.98,-747,-259,-58
7673,0,4468,-15976,-2568,18.88,-592,128,-264
7682,0,4420,-16192,-2032,18.98,-554,72,-272
7691,0,4580,-16448,-1964,18.93,-471,-117,-260
7700,0,4328,-16460,-348,18.93,-570,-205,-233
7709,0,4524,-16420,-1952,18.93,-548,117,-263
7718,0,4504,-16184,-2388,18.88,-429,181,-232
7730,0,4652,-16100,-1948,18.93,-342,101,-231
7739,0,4648,-16008,-1600,18.98,-328,162,-196
7748,0,4968,-16184,-1228,19.02,-408,102,-210
7757,0,4896,-16240,-1488,18.98,-357,-17,-160
7766,0,4848,-16108,-1360,18.93,-345,13,-102
7776,0,4820,-16124,-1528,18.88,-317,102,-64
7785,0,4720,-16080,-1412,18.93,-240,128,-38
7794,0,4744,-16040,-1456,19.02,-182,160,1
7803,0,4752,-15996,-1532,19.02,-115,155,26
7814,0,4604,-16168,-1276,18.98,-58,178,56
7823,0,4488,-16224,-1268,18.93,-52,239,62
7832,0,4520,-16312,-1136,18.93,-38,264,44
7842,0,4276,-16308,-1400,18.98,40,302,67
7851,0,4300,-16128,-1612,18.93,123,405,66
7860,0,4112,-16084,-1296,19.02,198,447,7
7869,0,4388,-16052,-1312,18.98,288,487,-22
7878,0,4532,-16068,-864,18.98,255,335,35
7890,0,4288,-16204,-1436,18.98,317,319,-16
7899,0,4288,-16196,-636,18.93,299,347,-42
7908,0,4268,-16292,-1008,18.98,329,399,-32
7917,0,4364,-16272,-1300,19.02,398,442,-33
7926,0,4272,-16264,-1420,18.93,396,508,-58
7948,0,4236,-16196,-1268,18.93,497,684,-58
7957,0,4120,-16192,-808,19.02,508,705,-81
7966,0,4152,-16312,-768,18.98,509,732,-63
7975,0,4228,-16212,-1012,18.93,543,839,-112
7994,0,4284,-16284,-756,18.98,623,698,-115
8003,0,4328,-16168,-496,18.98,628,694,-113
8012,0,4368,-16172,-724,19.02,644,708,-118
8021,0,4368,-16240,-172,18.93,591,656,-91
8030,0,4520,-16308,-400,18.93,662,604,-57
8039,0,4436,-16228,36,19.07,644,554,-36
8048,0,4464,-16268,200,18.98,653,554,0
8058,0,4368,-16284,228,19.02,578,463,-5
8069,0,4204,-16408,292,18.98,509,462,0
8078,0,3940,-16408,576,18.98,482,295,21
8087,0,4308,-16272,608,19.12,392,333,-27
8097,0,4116,-16524,192,18.98,331,241,-55
8106,0,4044,-16508,564,19.07,233,393,-103
8115,0,4160,-16668,432,18.98,178,407,-29
8124,0,4192,-16664,544,18.93,96,318,-89
8133,0,4200,-16616,588,18.98,12,265,-125
8142,0,4192,-16528,608,19.07,-35,213,-121
8154,0,4288,-16304,320,18.93,-71,175,-137
8163,0,4376,-16336,92,18.98,-77,99,-165
8173,0,4280,-16280,224,19.02,-107,50,-146
8182,0,4476,-16280,368,18.98,-167,54,-121
8191,0,4404,-16344,568,18.93,-204,34,-149
8200,0,4396,-16372,524,18.98,-261,12,-144
8209,0,4480,-16344,628,19.02,-345,-33,-115
8231,0,4568,-16564,660,18.98,-513,-163,-110
8243,0,4448,-16588,528,19.02,-558,-235,-116
8252,0,4520,-16464,500,18.88,-604,-238,-84
8261,0,4412,-16444,524,18.93,-638,-187,-123
8270,0,4204,-16372,788,18.98,-729,-105,-110
8280,0,4112,-16308,592,18.88,-780,-15,-147
8289,0,4064,-16436,540,18.98,-831,16,-165
8298,0,4076,-16428,520,18.93,-873,-6,-188
8307,0,4196,-16364,556,18.98,-959,-3,-230
8316,0,4260,-16500,280,19.02,-989,-22,-225
8328,0,4172,-16440,220,18.93,-988,-13,-236
8337,0,4292,-16492,224,18.98,-1006,-9,-230
8346,0,4340,-16428,196,18.98,-1024,11,-263
8356,0,4356,-16256,120,18.88,-993,-8,-248
8365,0,4380,-16228,-100,19.02,-956,-18,-249
8374,0,4396,-16200,-92,19.07,-981,10,-233
8383,0,4484,-16120,-252,18.98,-912,-60,-226
8392,0,4608,-16144,-192,18.98,-909,-46,-219
8404,0,4588,-16232,-452,19.02,-855,-64,-200
8413,0,4608,-16228,-308,19.07,-843,-29,-165
8422,0,4600,-16324,-108,18.93,-881,-18,-127
8431,0,4516,-16264,-144,19.02,-845,-31,-99
8441,0,4524,-16356,-72,18.98,-836,-46,-85
8450,0,4468,-16420,28,19.07,-913,-61,-67
8459,0,4412,-16468,-208,19.02,-862,-14,-107
8468,0,4300,-16428,-92,19.02,-849,13,-85
8478,0,4188,-16188,-172,18.98,-832,84,-54
8502,0,4152,-16276,92,19.07,-866,49,-119
8511,0,3924,-16376,-56,19.07,-856,-16,-174
8520,0,3976,-16392,-44,19.02,-858,-40,-146
8529,0,4112,-16424,-20,18.93,-892,-35,-218
8539,0,3984,-16448,-72,18.98,-892,-31,-215
8548,0,4100,-16524,20,18.98,-865,-6,-233
8557,0,4108,-16512,76,19.02,-859,12,-266
8566,0,4144,-16420,216,18.93,-893,-21,-296
8578,0,4244,-16312,0,18.98,-858,-22,-231
8592,0,4268,-16408,48,19.02,-893,5,-272
8605,0,4264,-16332,-148,18.88,-902,-6,-237
8619,0,4248,-16368,72,18.98,-928,-34,-230
8632,0,4328,-16356,0,19.02,-918,-26,-228
8645,0,4280,-16228,-136,19.02,-868,-29,-217
8657,0,4264,-16304,-144,18.98,-840,-16,-219
8669,0,4288,-16316,-344,18.98,-856,1,-207
8681,0,4220,-16376,-216,18.98,-828,5,-210
8703,0,4036,-16304,-92,18.98,-833,-7,-250
8712,0,4128,-16324,4,18.98,-835,-4,-282
8720,0,3996,-16368,-48,19.02,-840,-3,-272
8729,0,4148,-16360,88,18.93,-852,-2,-286
8738,0,4164,-16448,12,18.98,-870,13,-343
8747,0,4072,-16368,-84,19.02,-850,-20,-281
8755,0,4084,-16504,-24,18.93,-870,-2,-349
8764,0,4272,-16396,-48,18.88,-870,-27,-348
8775,0,4324,-16380,96,18.98,-884,-66,-375
8784,0,4404,-16468,76,19.07,-898,-109,-366
8793,0,4516,-16300,164,19.02,-902,-138,-359
8802,0,4476,-16292,72,19.02,-944,-136,-305
8812,0,4608,-16184,92,19.02,-944,-138,-300
8834,0,4696,-16204,160,19.02,-1019,-203,-245
8843,0,4604,-16300,-80,18.98,-1065,-221,-197
8852,0,4492,-16272,36,19.02,-1055,-209,-181
8861,0,4560,-16328,-88,18.93,-1052,-167,-178
8872,0,4428,-16268,-84,18.93,-1059,-154,-172
8881,0,4464,-16364,-188,19.12,-1046,-142,-143
8890,0,4348,-16388,-260,18.98,-1076,-124,-145
8900,0,4308,-16416,-216,18.98,-1032,-109,-152
